product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
Průhledný kryt CLEAR - iPhone 12/12 PRO,CLEAR,37,31,70,30
Průhledný kryt CLEAR - iPhone 7/8/SE,CLEAR,41,21.4,51,30
Průhledný kryt CLEAR - iPhone 11,CLEAR,25,21.8,40,30
Kryt PROTECT - iPhone 12/12 PRO - kožený,PROTECT,21,18.5,22,14
Gravírování,PPLR_HIDDEN_PRODUCT,27,57.6,53,0
Průhledný kryt CLEAR - iPhone 12 mini,CLEAR,12,21.4,30,30
Průhledný kryt CLEAR - iPhone X/XS,CLEAR,23,16.7,30,30
Kryt AIR pro iPhone SE/7/8 - kožený,AIR,30,16.8,25,14
iPhone 12/12 PRO - tvrzené ochranné sklo,LEMORY 3D,19,26.2,43,30
iPhone 7/8/SE - 3D tvrzené ochranné sklo,LEMORY 3D,11,26.6,37,30
Průhledný kryt CLEAR - iPhone 12 PRO MAX,CLEAR,31,10.7,22,30
Průhledný kryt CLEAR - iPhone XR,CLEAR,37,8,18,30
iPhone 11 - 3D tvrzené ochranné sklo,LEMORY 3D,-8,29.9,22,30
Kryt PROTECT - iPhone 11 - kožený,PROTECT,16,8.7,9,14
Průhledný kryt CLEAR - iPhone 11 PRO,CLEAR,4,11.3,13,30
Kryt PROTECT pro iPhone 7/8/SE - kožený,PROTECT,9,11.5,9,14
Kryt AIR pro iPhone XS - kožený,AIR,24,7.9,10,14
Kryt PROTECT - iPhone 12 mini - kožený,PROTECT,7,11.3,8,14
Kryt AIR pro iPhone XR - kožený,AIR,66,3.7,10,14
Kožená peněženka SLIM s kapsou na mince,SLIM,-5,3.5,3,30
Kryt PROTECT - iPhone 12 PRO MAX - kožený,PROTECT,19,5.5,6,14
Kryt AIR pro iPhone X - kožený,AIR,23,6.3,8,14
iPhone 12 mini - tvrzené ochranné sklo,LEMORY 3D,-1,13.4,13,30
iPhone 11 PRO - 3D tvrzené ochranné sklo,LEMORY 3D,10,7.4,10,30
iPhone 12 PRO MAX - tvrzené ochranné sklo,LEMORY 3D,24,6.6,12,30
iPhone XR - 3D tvrzené ochranné sklo,LEMORY 3D,46,4.3,11,30
Kryt PROTECT pro iPhone X/XS - kožený,PROTECT,13,5.4,5,14
iPhone X - 3D tvrzené ochranné sklo,LEMORY 3D,16,5.8,9,30
Kryt PROTECT pro  iPhone 11 PRO - kožený,PROTECT,5,6.3,4,14
Kožená MINI peněženka,MINI,21,2.3,4,30
Průhledný kryt CLEAR - iPhone 11 PRO MAX,CLEAR,6,3.3,4,30
Kryt AIR pro iPhone XS MAX - kožený,AIR,23,1.6,2,14
Průhledný kryt CLEAR - iPhone XS MAX,CLEAR,-3,2.2,2,30
iPhone XS - 3D tvrzené ochranné sklo,LEMORY 3D,-23,3.8,1,30
iPhone XS MAX - 3D tvrzené ochranné sklo,LEMORY 3D,-7,1.3,1,30
iPhone 11 PRO MAX - 3D tvrzené ochranné sklo,LEMORY 3D,-8,1.3,1,30
Doprava GLS,,4,3.3,1,5
Doprava - GLS,,4,3.3,1,5
Kryt PROTECT - iPhone 11 - kožený,LEMORY AIR PRO,-34,8.7,-1,30
