product_code,product_title,until_stockout,monthly_sales,inventory,lead_time
Průhledný kryt CLEAR - iPhone 12/12 PRO,CLEAR,62,31,70,5
Průhledný kryt CLEAR - iPhone 7/8/SE,CLEAR,66,21.4,51,5
Průhledný kryt CLEAR - iPhone 11,CLEAR,50,21.8,40,5
Kryt PROTECT - iPhone 12/12 PRO - kožený,PROTECT,30,18.5,22,5
Gravírování,PPLR_HIDDEN_PRODUCT,22,57.6,53,5
Průhledný kryt CLEAR - iPhone 12 mini,CLEAR,37,21.4,30,5
Průhledný kryt CLEAR - iPhone X/XS,CLEAR,48,16.7,30,5
Kryt AIR pro iPhone SE/7/8 - kožený,AIR,39,16.8,25,5
iPhone 12/12 PRO - tvrzené ochranné sklo,LEMORY 3D,44,26.2,43,5
iPhone 7/8/SE - 3D tvrzené ochranné sklo,LEMORY 3D,36,26.6,37,5
Průhledný kryt CLEAR - iPhone 12 PRO MAX,CLEAR,56,10.7,22,5
Průhledný kryt CLEAR - iPhone XR,CLEAR,62,8,18,5
iPhone 11 - 3D tvrzené ochranné sklo,LEMORY 3D,17,29.9,22,5
Kryt PROTECT - iPhone 11 - kožený,PROTECT,25,8.7,9,5
Průhledný kryt CLEAR - iPhone 11 PRO,CLEAR,29,11.3,13,5
Kryt PROTECT pro iPhone 7/8/SE - kožený,PROTECT,18,11.5,9,5
Kryt AIR pro iPhone XS - kožený,AIR,33,7.9,10,5
Kryt PROTECT - iPhone 12 mini - kožený,PROTECT,16,11.3,8,5
Kryt AIR pro iPhone XR - kožený,AIR,75,3.7,10,5
Kožená peněženka SLIM s kapsou na mince,SLIM,20,3.5,3,5
Kryt PROTECT - iPhone 12 PRO MAX - kožený,PROTECT,28,5.5,6,5
Kryt AIR pro iPhone X - kožený,AIR,32,6.3,8,5
iPhone 12 mini - tvrzené ochranné sklo,LEMORY 3D,24,13.4,13,5
iPhone 11 PRO - 3D tvrzené ochranné sklo,LEMORY 3D,35,7.4,10,5
iPhone 12 PRO MAX - tvrzené ochranné sklo,LEMORY 3D,49,6.6,12,5
iPhone XR - 3D tvrzené ochranné sklo,LEMORY 3D,71,4.3,11,5
Kryt PROTECT pro iPhone X/XS - kožený,PROTECT,22,5.4,5,5
iPhone X - 3D tvrzené ochranné sklo,LEMORY 3D,41,5.8,9,5
Kryt PROTECT pro  iPhone 11 PRO - kožený,PROTECT,14,6.3,4,5
Kožená MINI peněženka,MINI,46,2.3,4,5
Průhledný kryt CLEAR - iPhone 11 PRO MAX,CLEAR,31,3.3,4,5
Kryt AIR pro iPhone XS MAX - kožený,AIR,32,1.6,2,5
Průhledný kryt CLEAR - iPhone XS MAX,CLEAR,22,2.2,2,5
iPhone XS - 3D tvrzené ochranné sklo,LEMORY 3D,2,3.8,1,5
iPhone XS MAX - 3D tvrzené ochranné sklo,LEMORY 3D,18,1.3,1,5
iPhone 11 PRO MAX - 3D tvrzené ochranné sklo,LEMORY 3D,17,1.3,1,5
Doprava GLS,,4,3.3,1,5
Doprava - GLS,,4,3.3,1,5
Kryt PROTECT - iPhone 11 - kožený,LEMORY AIR PRO,-9,8.7,-1,5
